Model,NoiseLevel,Accuracy
BinaryNet,0.0,90.2391
BinaryNet,0.03,88.4395
BinaryNet,0.07,87.0787
BinaryNet,0.1,85.1731
BinaryNet,0.13,84.0125
BinaryNet,0.17,82.657
BinaryNet,0.2,80.6113
BinaryNet,0.23,79.8489
BinaryNet,0.27,77.9831
BinaryNet,0.3,76.544
FP32,0.0,89.7677
FP32,0.03,88.8392
FP32,0.07,87.444
FP32,0.1,87.5275
FP32,0.13,85.2081
FP32,0.17,84.1642
FP32,0.2,84.0976
FP32,0.23,82.1901
FP32,0.27,80.6836
FP32,0.3,79.3407
PBNN,0.0,89.9117
PBNN,0.03,88.7503
PBNN,0.07,88.2943
PBNN,0.1,88.5176
PBNN,0.13,88.0432
PBNN,0.17,86.9611
PBNN,0.2,86.1224
PBNN,0.23,86.4017
PBNN,0.27,84.9231
PBNN,0.3,84.2681
